Print_Date,Emancipation_Date_Start,Site,Emancipation_Date_End,Breed,Species_,SpayNeutered,Stage_,Photo,Location_,Sort_By,Intake_Date_From,Review_Date_From,Intake_Date_To,Review_Date_To,Pre_Altered,Show_Photo,Video
"Thursday, October 16, 2025",All,All,All,All,All,All,All,All,All,SubLocation - Alphabetical,All,All,All,All,Y,No,All

Location_1,AVG_LOS,Distinct_Animals,AnimalNumber,AnimalName,AnimalType,PrimaryBreed,Age,Color,Declawed,PreAltered,IntakeType,Sex,Stage,Location,ARN,ChipNumber,Species,SecondaryBreed,DateOfBirth,ColorPattern,EmancipationDate,SpayedNeutered,IntakeDateTime,LOSInDays,StageChangeReason,SubLocation,AnimalWeight,Danger,DangerType,NumberOfPictures,Videos,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,Total_Animals
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059452516,Poptart,Cat,Domestic Shorthair,2y 17d,Brown/,N,N,Stray/Abandoned/Dumped Off at SPCA,F,Available,Cat Adoption Condo Rooms,,941010004779378,Cat,,9/29/2023 12:00:00 AM,Tabby/,,Y,9/29/2025 2:19 PM,16.90,,Meet & Greet 109B,14.40 pound,No,,2,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0058212985,Snowball,Other,Florida White,6m 17d,White/,N,N,Owner/Guardian Surrender/Born in Care,M,Available,Cat Adoption Condo Rooms,Bunny 5,941010004744833,Rabbit,Satin,3/29/2025 12:00:00 AM,,,Y,3/30/2025 10:06 AM,200.10,,Rabbitat 1,4.30 pound,No,,3,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0058757640,Flip Flop,Other,Satin,6m 7d,Black/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Available,Cat Adoption Condo Rooms,,941010004626080,Rabbit,Mix,4/9/2025 12:00:00 AM,,,Y,6/21/2025 2:56 PM,116.90,,Rabbitat 2,5.50 pound,No,,3,No,,,,,457
  Cat Adoption Room G,Avg. LOS: 37,9,A0059594074,Leah,Cat,Domestic Shorthair,2y 3d,Brown/White,N,N,Seized/Signed Over,F,Available,Cat Adoption Room G,Princess Leia,941010004775712,Cat,,10/13/2023 12:00:00 AM,Tabby/,,Y,10/13/2025 2:43 PM,2.90,,01,5.75 pound,No,,0,No,,,,,457
  Cat Adoption Room G,Avg. LOS: 37,9,A0058925505,Winky,Cat,Domestic Shorthair,4m 17d,Grey/,N,N,Stray/No Hold,F,Available,Cat Adoption Room G,,941010004225316,Cat,,5/29/2025 12:00:00 AM,,,Y,7/17/2025 12:16 PM,91.00,,02,4.00 pound,No,,2,No,,,,,457
  Cat Adoption Room G,Avg. LOS: 37,9,A0058925509,Bellatrix,Cat,Domestic Shorthair,4m 17d,Black/,N,N,Stray/No Hold,F,Available,Cat Adoption Room G,,941010004205931,Cat,,5/29/2025 12:00:00 AM,,,Y,7/17/2025 12:16 PM,91.00,,02,4.25 pound,No,,2,No,,,,,457
  Cat Adoption Room G,Avg. LOS: 37,9,A0058929074,Teddy,Cat,Domestic Shorthair,2y 2m 29d,Black/,N,Y,Return/Owned More than 30 Days - OTC!,M,Available,Cat Adoption Room G,TEDDY,941010004397586,Cat,,7/17/2023 12:00:00 AM,Tabby/,,Y,10/9/2025 4:22 PM,6.80,,03,8.50 pound,No,,3,No,,,,,457
  Cat Adoption Room G,Avg. LOS: 37,9,A0059032150,Loretta,Cat,Domestic Shorthair,1y 8m 14d,Black/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Available,Cat Adoption Room G,,941010004193537,Cat,,2/2/2024 12:00:00 AM,,,Y,8/2/2025 11:51 AM,75.00,,04,7.50 pound,No,,2,No,,,,,457
  Cat Adoption Room G,Avg. LOS: 37,9,A0059046296,Blue,Cat,Domestic Shorthair,8y 2m 11d,Blue/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Available,Cat Adoption Room G,,941010004998244,Cat,,8/5/2017 12:00:00 AM,,,Y,8/21/2025 12:15 PM,56.00,,05,7.50 pound,No,,2,No,,,,,457
  Cat Adoption Room G,Avg. LOS: 37,9,A0059592746,Hija,Cat,Domestic Shorthair,4m 3d,Black/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Available,Cat Adoption Room G,garfiel hija,941010004775897,Cat,,6/13/2025 12:00:00 AM,,,Y,10/14/2025 2:13 PM,1.90,,06,4.25 pound,No,,0,No,,,,,457
  Cat Adoption Room G,Avg. LOS: 37,9,A0059572156,Phantom,Cat,Domestic Shorthair,5m 7d,Blue/White,N,Y,Return/Owned 30 Days or Less - OTC!,M,Available,Cat Adoption Room G,,941010004776348,Cat,,5/9/2025 12:00:00 AM,Tabby/,,Y,10/16/2025 11:29 AM,0.00,,07,4.75 pound,No,,0,No,,,,,457
